birth_band,universe_year,universe,n_child,n_women,n_women_weighted,probability,probability_weighted
1890-1899,1960,all_women,0,11684,1163958,0.1829426777522038,0.18294138874498936
1890-1899,1960,all_women,1,10833,1079257,0.1696181126403307,0.16962877903906412
1890-1899,1960,all_women,2,12647,1259860,0.19802088715612132,0.1980144799247587
1890-1899,1960,all_women,3,9271,923568,0.14516103778163997,0.1451588566945133
1890-1899,1960,all_women,4,6304,628054,0.09870512158078507,0.0987123856417891
1890-1899,1960,all_women,5,4122,410569,0.06454037296256282,0.06452987396077997
1890-1899,1960,all_women,6,2808,279751,0.04396636760768472,0.04396897176942769
1890-1899,1960,all_women,7,1959,195140,0.03067311757245526,0.030670507526643766
1890-1899,1960,all_women,8,1390,138505,0.02176397826733681,0.02176908191543402
1890-1899,1960,all_women,9,958,95435,0.01499992171230839,0.014999691943247144
1890-1899,1960,all_women,10,774,77106,0.012118934661092583,0.012118889788610199
1890-1899,1960,all_women,11,415,41331,0.006497878403557393,0.0064960681899339625
1890-1899,1960,all_women,12,702,69930,0.01099159190192118,0.010991024860808643
1890-1899,1960,ever_married,0,11684,1163958,0.1829426777522038,0.18294138874498936
1890-1899,1960,ever_married,1,10833,1079257,0.1696181126403307,0.16962877903906412
1890-1899,1960,ever_married,2,12647,1259860,0.19802088715612132,0.1980144799247587
1890-1899,1960,ever_married,3,9271,923568,0.14516103778163997,0.1451588566945133
1890-1899,1960,ever_married,4,6304,628054,0.09870512158078507,0.0987123856417891
1890-1899,1960,ever_married,5,4122,410569,0.06454037296256282,0.06452987396077997
1890-1899,1960,ever_married,6,2808,279751,0.04396636760768472,0.04396897176942769
1890-1899,1960,ever_married,7,1959,195140,0.03067311757245526,0.030670507526643766
1890-1899,1960,ever_married,8,1390,138505,0.02176397826733681,0.02176908191543402
1890-1899,1960,ever_married,9,958,95435,0.01499992171230839,0.014999691943247144
1890-1899,1960,ever_married,10,774,77106,0.012118934661092583,0.012118889788610199
1890-1899,1960,ever_married,11,415,41331,0.006497878403557393,0.0064960681899339625
1890-1899,1960,ever_married,12,702,69930,0.01099159190192118,0.010991024860808643
1890-1899,1970,all_women,0,12377,1237700,0.23231849237930777,0.23231849237930777
1890-1899,1970,all_women,1,8476,847600,0.15909602823034763,0.15909602823034763
1890-1899,1970,all_women,2,10287,1028700,0.19308882048201817,0.19308882048201817
1890-1899,1970,all_women,3,7372,737200,0.1383737517831669,0.1383737517831669
1890-1899,1970,all_women,4,4858,485800,0.09118552443877168,0.09118552443877168
1890-1899,1970,all_women,5,3188,318800,0.05983932727682258,0.05983932727682258
1890-1899,1970,all_women,6,2151,215100,0.04037465275170809,0.04037465275170809
1890-1899,1970,all_women,7,1412,141200,0.02650349125309708,0.02650349125309708
1890-1899,1970,all_women,8,1109,110900,0.020816127336887154,0.020816127336887154
1890-1899,1970,all_women,9,724,72400,0.013589608829491704,0.013589608829491704
1890-1899,1970,all_women,10,558,55800,0.010473759291238081,0.010473759291238081
1890-1899,1970,all_women,11,303,30300,0.005687363916209926,0.005687363916209926
1890-1899,1970,all_women,12,461,46100,0.008653052030933254,0.008653052030933254
1890-1899,1970,ever_married,0,8470,847000,0.17260703878054248,0.17260703878054248
1890-1899,1970,ever_married,1,8373,837300,0.17063031118175703,0.17063031118175703
1890-1899,1970,ever_married,2,10207,1020700,0.20800472784332905,0.20800472784332905
1890-1899,1970,ever_married,3,7331,733100,0.1493957734710929,0.1493957734710929
1890-1899,1970,ever_married,4,4825,482500,0.09832691406329604,0.09832691406329604
1890-1899,1970,ever_married,5,3182,318200,0.06484481669417783,0.06484481669417783
1890-1899,1970,ever_married,6,2142,214200,0.043651036253591735,0.043651036253591735
1890-1899,1970,ever_married,7,1403,140300,0.028591224959752196,0.028591224959752196
1890-1899,1970,ever_married,8,1102,110200,0.022457255813005644,0.022457255813005644
1890-1899,1970,ever_married,9,721,72100,0.014692995863137086,0.014692995863137086
1890-1899,1970,ever_married,10,556,55600,0.011330521081697948,0.011330521081697948
1890-1899,1970,ever_married,11,302,30200,0.006154347781785576,0.006154347781785576
1890-1899,1970,ever_married,12,457,45700,0.009313036212834464,0.009313036212834464
1890-1899,1980,all_women,0,34441,688820,0.2343977568159854,0.2343977568159854
1890-1899,1980,all_women,1,24509,490180,0.16680278220153266,0.16680278220153266
1890-1899,1980,all_women,2,29094,581880,0.19800726856956186,0.19800726856956186
1890-1899,1980,all_women,3,20792,415840,0.14150571004668763,0.14150571004668763
1890-1899,1980,all_women,4,13124,262480,0.08931901397906543,0.08931901397906543
1890-1899,1980,all_women,5,8163,163260,0.05555555555555555,0.05555555555555555
1890-1899,1980,all_women,6,5638,112760,0.03837096927872378,0.03837096927872378
1890-1899,1980,all_women,7,3676,73520,0.025018035308369744,0.025018035308369744
1890-1899,1980,all_women,8,2632,52640,0.017912804388364845,0.017912804388364845
1890-1899,1980,all_women,9,1776,35520,0.01208705949610029,0.01208705949610029
1890-1899,1980,all_women,10,1224,24480,0.008330270733798849,0.008330270733798849
1890-1899,1980,all_women,11,709,14180,0.0048252957109994965,0.0048252957109994965
1890-1899,1980,all_women,12,1156,23120,0.007867477915254467,0.007867477915254467
1890-1899,1980,ever_married,0,23976,479520,0.17623839521327817,0.17623839521327817
1890-1899,1980,ever_married,1,24303,486060,0.17864204699984565,0.17864204699984565
1890-1899,1980,ever_married,2,29019,580380,0.21330755716942437,0.21330755716942437
1890-1899,1980,ever_married,3,20725,414500,0.1523415390722051,0.1523415390722051
1890-1899,1980,ever_married,4,13103,262060,0.09631513565563829,0.09631513565563829
1890-1899,1980,ever_married,5,8142,162840,0.05984872430040502,0.05984872430040502
1890-1899,1980,ever_married,6,5620,112400,0.04131046801378976,0.04131046801378976
1890-1899,1980,ever_married,7,3667,73340,0.026954712848143603,0.026954712848143603
1890-1899,1980,ever_married,8,2628,52560,0.01931742169755151,0.01931742169755151
1890-1899,1980,ever_married,9,1775,35500,0.013047345324640004,0.013047345324640004
1890-1899,1980,ever_married,10,1223,24460,0.00898980469410407,0.00898980469410407
1890-1899,1980,ever_married,11,709,14180,0.005211587512771697,0.005211587512771697
1890-1899,1980,ever_married,12,1153,23060,0.008475261498202774,0.008475261498202774
1900-1909,1960,all_women,0,17770,1770212,0.20617480188887213,0.20617839143509414
1900-1909,1960,all_women,1,16899,1683329,0.19606910394597918,0.19605904009013925
