Year,cohort,n_child,n_women_weighted
1950,1890-1900,0,1185971
1950,1890-1900,1,1103072
1950,1890-1900,2,1277203
1950,1890-1900,3,935134
1950,1890-1900,4,632641
1950,1890-1900,5,416759
1950,1890-1900,6,281139
1950,1890-1900,7,195740
1950,1890-1900,8,138905
1950,1890-1900,9,96231
1950,1890-1900,10,77004
1950,1890-1900,11,41829
1950,1890-1900,12,69832
1960,1900-1910,0,1773387
1960,1900-1910,1,1685617
1960,1900-1910,2,1920711
1960,1900-1910,3,1207362
1960,1900-1910,4,728585
1960,1900-1910,5,423577
1960,1900-1910,6,273037
1960,1900-1910,7,181612
1960,1900-1910,8,135287
1960,1900-1910,9,87076
1960,1900-1910,10,68544
1960,1900-1910,11,38968
1960,1900-1910,12,66440
1970,1910-1920,0,2227400
1970,1910-1920,1,1871400
1970,1910-1920,2,2633100
1970,1910-1920,3,1787500
1970,1910-1920,4,1018200
1970,1910-1920,5,553700
1970,1910-1920,6,318000
1970,1910-1920,7,191800
1970,1910-1920,8,127500
1970,1910-1920,9,89600
1970,1910-1920,10,54800
1970,1910-1920,11,33700
1970,1910-1920,12,61100
1980,1920-1930,0,1660980
1980,1920-1930,1,1521140
1980,1920-1930,2,2871520
1980,1920-1930,3,2457260
1980,1920-1930,4,1591840
1980,1920-1930,5,880740
1980,1920-1930,6,508440
1980,1920-1930,7,286360
1980,1920-1930,8,180900
1980,1920-1930,9,114720
1980,1920-1930,10,73520
1980,1920-1930,11,43080
1980,1920-1930,12,71220
1990,1931-1940,0,1217343
1990,1931-1940,1,1094022
1990,1931-1940,2,2617343
1990,1931-1940,3,2593050
1990,1931-1940,4,1737606
1990,1931-1940,5,961825
1990,1931-1940,6,508616
1990,1931-1940,7,270979
1990,1931-1940,8,154523
1990,1931-1940,9,90180
1990,1931-1940,10,51834
1990,1931-1940,11,26666
1990,1931-1940,12,36444
