birth_band,universe_year,n_women_all_women,n_women_ever_married,mean_children_all_women,mean_children_ever_married,var_children_all_women,var_children_ever_married,share_0_all_women,share_0_ever_married,mean_shift,share0_shift,pct_never_married,tvd,tvd_weighted
1890-1899,1960,63867,63867,2.830851613509287,2.830851613509287,6.721912911108656,6.721912911108656,0.1829426777522038,0.1829426777522038,0,0,0,0,0
1890-1899,1970,53276,49071,2.612076732487462,2.819058099488564,6.475678833042456,6.413214119937953,0.23231849237930777,0.17260703878054248,-0.20698136700110226,0.059711453598765285,0.07892859824311138,0.05971145359876525,0.05971145359876525
1890-1899,1980,146934,136043,2.510617011719448,2.704225869761669,6.029734215337244,5.978540748791432,0.2343977568159854,0.17623839521327817,-0.19360885804222105,0.05815936160270724,0.07412171451127714,0.05815936160270723,0.05815936160270723
1900-1909,1960,86189,86189,2.43649421619934,2.43649421619934,5.542925361912232,5.542925361912232,0.20617480188887213,0.20617480188887213,0,0,0,0,0
1900-1909,1970,84607,78377,2.275733686338108,2.437743215484075,5.371609682897663,5.35662024114579,0.2501684257803728,0.19714967401150849,-0.1620095291459669,0.05301875176886431,0.07363456924367962,0.0530187517688643,0.0530187517688643
1900-1909,1980,341406,318333,2.2630592315307205,2.4187753076178677,5.242291853994495,5.2310891262619545,0.2481913030233798,0.19729025894267951,-0.15571607608714721,0.050901044080700286,0.06758229205110633,0.05090104408070027,0.05090104408070027
1900-1909,1990,208609,195390,2.32408477103082,2.470336250575668,5.2385939220200255,5.208274615810595,0.23177811120325587,0.1840677619120733,-0.14625147954484774,0.04771034929118256,0.06336735231941093,0.04771034929118254,0.05035124880835929
1910-1919,1970,108973,102159,2.3653290264559517,2.5062892158301846,4.667941178722234,4.589104222664282,0.20492232020775789,0.15815542438747443,-0.14096018937423294,0.046766895820283455,0.0625292503647693,0.04676689582028343,0.04676689582028343
1910-1919,1980,512689,484295,2.3831055474174114,2.511438276257339,4.659673538312436,4.590526390316664,0.20149057225725536,0.15948750245201787,-0.1283327288399274,0.04200306980523749,0.055382502842854064,0.04200306980523749,0.04200306980523749
1910-1919,1990,418777,397632,2.441175136170706,2.5585943787217307,4.759086310792052,4.684214283008156,0.19082709890944344,0.15251036133912763,-0.11741924255102454,0.03831673757031581,0.05049226676727714,0.03831673757031582,0.04053777707206664
1920-1929,1980,613372,584835,2.843219123142212,2.9636957432439837,4.78278589463078,4.619671886416162,0.13654682639572724,0.1007241358673814,-0.12047662010177174,0.035822690528345844,0.046524784307076295,0.035822690528345844,0.035822690528345844
1920-1929,1990,584736,560063,2.8922128960761126,3.000965962757857,4.89098053340896,4.735262305621973,0.1313190910085919,0.09910670763824785,-0.10875306668174423,0.03221238337034406,0.04219511027198597,0.03221238337034405,0.03417311444018583
1930-1939,1990,582654,558129,3.081978326760104,3.1861881393009375,4.315074847674877,4.104009988974573,0.10293759246482476,0.07322679882249444,-0.10420981254083328,0.029710793642330313,0.04209187613918386,0.02971079364233032,0.0316448586360197
