"num_parents","num_siblings","num_children","num_first_degree","num_grandparents","num_aunts_uncles","num_nephews_nieces","num_second_degree","num_first_cousins","num_second_cousins","num_third_cousins"
2,1,3,6,4,4,1,9,9,40,187
2,6,0,8,4,7,14,25,21,86,85
2,3,5,10,4,11,3,18,28,50,285
2,3,1,6,4,3,3,10,6,40,285
2,6,1,9,4,8,19,31,19,71,219
2,2,5,9,4,10,6,20,19,85,242
2,2,3,7,4,8,3,15,25,65,364
2,3,2,7,4,8,1,13,17,61,199
2,2,0,4,4,6,1,11,22,78,413
2,4,0,6,4,3,5,12,16,49,367
2,1,0,3,4,4,1,9,3,103,320
2,2,2,6,4,10,3,17,24,83,301
2,1,3,6,4,8,0,12,23,81,303
2,2,2,6,4,8,0,12,19,50,149
2,3,5,10,4,8,5,17,15,131,258
2,5,0,7,4,2,9,15,5,67,133
2,6,4,12,4,5,17,26,14,48,219
2,1,2,5,4,2,1,7,5,52,359
2,0,1,3,4,15,0,19,36,30,338
2,5,0,7,4,7,12,23,18,51,201
2,7,2,11,4,3,17,24,7,94,432
2,1,5,8,4,5,4,13,7,118,235
2,2,5,9,4,3,1,8,8,94,504
2,1,1,4,4,5,1,10,6,39,176
2,7,0,9,4,6,12,22,9,64,403
2,1,6,9,4,3,3,10,11,69,453
2,2,5,9,4,4,0,8,8,117,268
2,2,3,7,4,14,3,21,47,129,132
2,1,4,7,4,7,1,12,19,135,284
2,0,2,4,4,1,0,5,1,41,296
2,5,2,9,4,6,16,26,12,39,221
2,2,3,7,4,3,2,9,2,10,461
2,4,1,7,4,3,12,19,9,47,309
2,0,0,2,4,7,0,11,17,39,211
2,3,7,12,4,3,5,12,9,35,280
2,8,2,12,4,9,23,36,24,70,194
2,3,1,6,4,3,6,13,6,53,450
2,1,0,3,4,16,5,25,27,44,463
2,2,1,5,4,3,3,10,3,40,238
2,4,0,6,4,6,9,19,21,74,334
2,0,2,4,4,3,0,7,3,50,216
2,1,4,7,4,8,1,13,21,40,237
2,5,3,10,4,8,19,31,12,29,188
2,1,5,8,4,4,4,12,10,46,136
2,7,3,12,4,8,9,21,9,37,339
2,1,4,7,4,0,4,8,0,34,286
2,1,2,5,4,2,4,10,6,57,546
2,1,1,4,4,3,0,7,5,109,443
2,8,4,14,4,9,23,36,19,78,329
2,1,4,7,4,6,2,12,11,101,388
2,3,0,5,4,14,8,26,32,136,314
2,9,0,11,4,12,22,38,24,81,294
2,3,0,5,4,5,7,16,7,94,320
2,1,7,10,4,6,2,12,13,86,204
2,5,2,9,4,9,17,30,21,43,507
2,2,0,4,4,6,4,14,16,100,312
2,0,4,6,4,9,0,13,27,40,175
2,10,2,14,4,8,30,42,16,104,283
2,5,2,9,4,9,4,17,9,13,278
2,4,3,9,4,1,10,15,5,110,346
2,2,2,6,4,4,6,14,6,48,155
2,0,3,5,4,2,0,6,4,71,291
2,1,0,3,4,3,4,11,10,28,387
2,5,4,11,4,12,10,26,23,57,252
2,7,0,9,4,11,18,33,43,73,513
2,4,7,13,4,4,4,12,6,57,185
2,3,3,8,4,7,4,15,9,106,369
2,4,0,6,4,13,6,23,38,121,333
2,3,4,9,4,3,9,16,9,42,301
2,1,0,3,4,2,3,9,0,79,213
2,4,0,6,4,5,2,11,18,59,336
2,5,0,7,4,3,8,15,5,65,215
2,3,2,7,4,6,2,12,8,45,384
2,4,10,16,4,10,12,26,25,41,488
2,4,1,7,4,11,7,22,24,38,316
2,3,2,7,4,3,9,16,3,39,408
2,0,0,2,4,3,0,7,10,44,314
2,3,1,6,4,4,5,13,17,60,304
2,6,4,12,4,2,6,12,3,27,312
2,2,3,7,4,3,10,17,11,37,253
2,1,0,3,4,5,3,12,13,60,218
2,1,2,5,4,7,1,12,20,39,447
2,3,3,8,4,6,9,19,26,69,223
2,1,4,7,4,7,4,15,18,115,319
2,3,2,7,4,9,5,18,26,83,357
2,1,5,8,4,9,0,13,21,64,186
2,4,0,6,4,14,11,29,25,30,405
2,2,9,13,4,7,9,20,16,81,508
2,5,3,10,4,3,9,16,9,25,275
2,0,3,5,4,6,0,10,9,63,343
2,5,7,14,4,15,11,30,37,41,490
2,0,3,5,4,3,0,7,5,92,377
2,2,5,9,4,7,5,16,19,76,418
2,1,6,9,4,8,3,15,17,53,178
2,4,2,8,4,10,10,24,25,57,371
2,5,0,7,4,3,10,17,17,63,312
2,4,0,6,4,5,5,14,10,97,45
2,4,3,9,4,6,6,16,17,66,351
2,0,0,2,4,5,0,9,8,60,236
2,1,3,6,4,7,0,11,11,86,447
2,1,2,5,4,4,0,8,9,88,303
2,3,3,8,4,3,6,13,4,43,266
2,3,1,6,4,5,6,15,2,30,170
2,1,2,5,4,14,0,18,22,78,371
2,0,3,5,4,10,0,14,20,54,230
2,7,3,12,4,7,17,28,13,19,369
2,6,4,12,4,6,7,17,15,133,368
2,2,0,4,4,6,6,16,15,68,280
2,4,3,9,4,4,18,26,19,49,180
2,3,3,8,4,9,11,24,26,77,443
2,3,2,7,4,2,7,13,10,44,330
2,2,3,7,4,10,3,17,16,51,462
2,2,4,8,4,8,5,17,19,55,307
2,1,0,3,4,10,3,17,14,20,321
2,1,7,10,4,6,4,14,22,91,376
2,6,0,8,4,3,13,20,14,93,147
2,4,1,7,4,11,11,26,33,28,306
2,5,1,8,4,8,5,17,21,101,436
2,3,4,9,4,4,11,19,8,31,123
2,8,1,11,4,5,20,29,12,116,274
2,9,5,16,4,6,14,24,7,64,265
2,4,5,11,4,9,5,18,25,71,167
2,2,4,8,4,6,3,13,20,72,283
2,2,1,5,4,6,7,17,28,64,278
2,4,3,9,4,5,2,11,12,69,259
2,7,5,14,4,10,13,27,13,64,338
2,7,1,10,4,5,15,24,9,32,279
2,2,1,5,4,8,4,16,25,153,211
2,1,0,3,4,5,2,11,16,62,340
2,5,2,9,4,6,8,18,16,67,396
2,4,5,11,4,7,13,24,16,95,412
2,0,1,3,4,9,0,13,14,121,176
2,2,4,8,4,7,5,16,14,87,328
2,0,3,5,4,3,0,7,8,69,66
2,0,1,3,4,4,0,8,10,17,167
2,3,6,11,4,9,5,18,18,50,200
2,1,0,3,4,3,0,7,3,35,356
2,4,2,8,4,6,10,20,18,17,274
2,2,0,4,4,6,12,22,6,14,492
2,8,0,10,4,4,16,24,6,143,221
2,5,2,9,4,7,11,22,22,65,513
2,10,0,12,4,2,14,20,13,34,375
2,2,2,6,4,7,4,15,16,100,264
2,4,3,9,4,11,6,21,30,56,527
2,10,3,15,4,5,24,33,8,65,652
2,5,6,13,4,10,4,18,18,54,378
2,6,0,8,4,10,9,23,10,32,444
2,2,5,9,4,3,3,10,0,25,186
2,1,3,6,4,3,2,9,16,80,355
2,2,0,4,4,14,2,20,28,45,402
2,1,10,13,4,3,1,8,5,85,291
2,0,0,2,4,11,0,15,24,157,416
2,5,1,8,4,4,11,19,14,29,481
2,6,7,15,4,11,8,23,31,72,308
2,3,1,6,4,5,0,9,10,18,383
2,4,4,10,4,9,5,18,18,30,279
2,5,2,9,4,4,26,34,8,61,332
2,3,0,5,4,4,9,17,6,47,241
2,3,1,6,4,4,8,16,9,102,346
2,5,0,7,4,3,10,17,9,19,209
2,0,4,6,4,5,0,9,11,30,313
2,3,0,5,4,6,14,24,11,63,222
2,2,3,7,4,11,6,21,15,101,561
2,2,4,8,4,10,7,21,25,124,424
2,6,2,10,4,11,21,36,30,44,253
2,2,2,6,4,5,6,15,9,20,343
2,0,0,2,4,6,0,10,6,63,458
2,2,1,5,4,4,0,8,10,82,517
2,8,0,10,4,9,24,37,20,66,150
2,2,1,5,4,1,8,13,0,98,197
2,10,11,23,4,17,30,51,41,31,598
2,4,0,6,4,9,9,22,21,91,354
2,6,0,8,4,3,20,27,7,86,250
2,1,5,8,4,3,0,7,4,32,134
2,2,0,4,4,3,3,10,8,72,274
2,2,4,8,4,9,3,16,18,49,394
2,11,1,14,4,15,27,46,20,9,209
2,6,9,17,4,13,7,24,40,129,432
2,5,4,11,4,12,10,26,21,134,400
2,1,7,10,4,7,4,15,9,76,95
2,2,3,7,4,1,9,14,3,123,574
2,1,0,3,4,7,2,13,7,80,372
2,5,5,12,4,13,19,36,21,114,390
2,2,1,5,4,6,5,15,13,17,173
2,4,0,6,4,9,7,20,7,56,260
2,5,0,7,4,3,15,22,9,21,190
2,2,1,5,4,9,6,19,17,72,220
2,5,2,9,4,10,13,27,29,47,312
2,5,2,9,4,15,13,32,32,67,209
2,2,7,11,4,8,4,16,22,88,373
2,1,1,4,4,5,2,11,13,127,245
2,2,4,8,4,8,6,18,23,43,127
2,3,4,9,4,3,2,9,1,53,310
2,3,3,8,4,3,2,9,17,18,376
2,5,1,8,4,6,9,19,8,81,261
2,5,3,10,4,1,3,8,12,74,508
2,6,6,14,4,13,9,26,29,18,200
2,2,6,10,4,7,2,13,17,11,291
2,7,4,13,4,5,20,29,11,109,416
2,2,1,5,4,16,7,27,36,62,417
2,5,2,9,4,4,16,24,6,38,564
2,4,3,9,4,8,11,23,15,41,267
2,6,2,10,4,5,19,28,14,121,207
2,2,0,4,4,3,1,8,9,87,338
2,5,1,8,4,9,13,26,25,40,204
2,3,1,6,4,4,9,17,14,109,305
2,4,5,11,4,3,13,20,2,76,262
2,1,9,12,4,1,1,6,3,59,161
2,2,4,8,4,13,1,18,22,53,322
2,5,1,8,4,11,9,24,44,68,300
2,1,2,5,4,5,0,9,6,28,407
2,4,4,10,4,5,11,20,11,99,312
2,3,8,13,4,5,9,18,9,71,209
2,3,2,7,4,4,0,8,12,42,180
2,2,0,4,4,2,3,9,1,56,250
2,3,3,8,4,7,7,18,12,70,491
2,4,1,7,4,2,6,12,10,34,241
2,5,5,12,4,9,6,19,28,49,423
2,4,0,6,4,15,12,31,25,76,344
2,2,2,6,4,9,6,19,23,39,236
2,5,2,9,4,10,6,20,25,78,304
2,2,2,6,4,2,2,8,6,40,231
2,1,2,5,4,5,4,13,13,43,294
2,3,3,8,4,8,4,16,17,51,200
2,4,2,8,4,8,9,21,26,56,124
2,9,1,12,4,5,17,26,15,93,268
2,5,1,8,4,1,5,10,4,63,214
2,5,1,8,4,8,7,19,13,53,322
2,3,6,11,4,6,5,15,19,33,274
2,2,2,6,4,11,3,18,26,81,277
2,6,1,9,4,9,18,31,19,39,344
2,1,2,5,4,6,3,13,13,22,393
2,9,5,16,4,5,18,27,8,72,375
2,0,2,4,4,2,0,6,13,142,419
2,7,0,9,4,6,12,22,13,76,715
2,2,4,8,4,7,2,13,20,80,339
2,2,1,5,4,9,6,19,28,49,227
2,2,8,12,4,8,5,17,19,38,350
2,2,0,4,4,9,3,16,21,65,331
2,6,1,9,4,4,13,21,12,25,398
2,2,5,9,4,12,4,20,44,78,381
2,3,1,6,4,2,8,14,2,73,310
2,6,1,9,4,11,12,27,25,93,341
2,6,4,12,4,2,11,17,10,19,212
2,6,1,9,4,12,14,30,23,39,339
2,0,7,9,4,8,0,12,25,5,222
2,6,0,8,4,7,21,32,9,22,295
2,3,3,8,4,6,7,17,12,27,193
2,1,6,9,4,7,1,12,23,94,277
2,1,3,6,4,7,7,18,15,79,289
2,3,4,9,4,7,3,14,8,30,214
2,1,2,5,4,4,1,9,7,40,273
2,2,3,7,4,11,5,20,22,105,187
2,4,0,6,4,11,7,22,29,90,199
2,4,6,12,4,15,10,29,45,70,142
2,1,0,3,4,4,1,9,10,121,312
2,2,1,5,4,4,1,9,9,68,363
2,2,2,6,4,13,3,20,43,154,233
2,1,1,4,4,6,2,12,16,54,411
2,3,4,9,4,3,9,16,1,112,232
2,3,4,9,4,7,9,20,15,98,386
2,2,1,5,4,3,6,13,3,172,253
2,3,0,5,4,9,8,21,26,84,127
2,5,0,7,4,8,6,18,21,66,208
2,0,0,2,4,5,0,9,21,0,215
2,5,2,9,4,4,19,27,13,130,401
2,3,1,6,4,3,6,13,10,113,253
2,3,7,12,4,8,1,13,26,121,391
2,8,5,15,4,2,25,31,6,68,294
2,2,5,9,4,3,4,11,7,54,469
2,6,0,8,4,0,8,12,0,86,337
2,0,2,4,4,5,0,9,8,31,202
2,0,4,6,4,13,0,17,40,80,285
2,4,4,10,4,4,8,16,18,12,314
2,3,4,9,4,7,8,19,20,90,287
2,6,6,14,4,7,17,28,21,41,324
