"distribution","Year","mean_data","mean_poisson","mean_zinb","variance_data","variance_poisson","variance_zinb"
"fertility",1950,2.81794317479913,2.81794317480662,2.81794295821486,6.68934897127097,2.81794317480662,6.66793190462817
"fertility",1960,2.4292556213979,2.42925562141366,2.42925546418046,5.51341351143725,2.42925562141366,5.3593643604763
"fertility",1970,2.36310078369062,2.36310078369727,2.36310068952186,4.61134493241773,2.36310078369727,4.39412239464991
"fertility",1980,2.84623091836234,2.84623091836685,2.84623337295606,4.76449606182394,2.84623091836685,4.59851901771619
"fertility",1990,3.03355076839356,3.03355076840113,3.03354976116036,4.15439984196971,3.03355076840113,4.07644106185734
"sibling",1950,4.19174749301293,2.81794317480662,4.18418386638862,8.89065298031489,2.81794317480662,9.3758144844158
"sibling",1960,3.69881899160751,2.42925562141366,3.63543115854464,8.51465234469291,2.42925562141366,7.91488992764253
"sibling",1970,3.31447875477838,2.36310078369727,3.22257388680615,7.09272984287205,2.36310078369727,5.45517576815463
"sibling",1980,3.52018408226458,2.84623091836685,3.4618840997762,6.30713636138799,2.84623091836685,4.9443226108635
"sibling",1990,3.40302331970714,3.03355076840113,3.37733555101273,5.03024443891604,3.03355076840113,3.93278054899186
