"Model","sib_counts","n_counts","prob"
"Poisson",0,4154,0.0829572233095019
"Poisson",1,10058,0.200862723169709
"Poisson",2,12957,0.25875703958142
"Poisson",3,11080,0.221272516675321
"Poisson",4,6540,0.13060670208092
"Poisson",5,3354,0.066980868314894
"Poisson",6,1309,0.0261413108599273
"Poisson",7,456,0.00910652234692655
"Poisson",8,135,0.0026960099053401
"Poisson",9,20,0.0003994088748652
"Poisson",10,11,0.00021967488117586
"ZINB",0,3918,0.0784682862350043
"ZINB",1,7950,0.159219723218041
"ZINB",2,9366,0.187578858825179
"ZINB",3,8668,0.173599567403016
"ZINB",4,6975,0.139692776030923
"ZINB",5,4986,0.0998578037692015
"ZINB",6,3402,0.0681340249544371
"ZINB",7,2088,0.041817708437644
"ZINB",8,1179,0.0236125853678076
"ZINB",9,660,0.0132182411728185
"ZINB",10,319,0.00638881656686227
"ZINB",11,420,0.00841160801906631
